mpi,opt,opt_name,fep,time
616,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,47.167,83.072
616,54,fgmres ksp_left P_max=2 factor_shift=NONZERO,47.394,80.073
616,62,fgmres P_max=2,51.157,83.894
616,62,fgmres P_max=2,40.212,75.93
616,62,fgmres P_max=2,47.388,81.95
616,62,fgmres P_max=2,44.17,75.764
616,62,fgmres P_max=2,42.531,75.429
616,62,fgmres P_max=2,45.012,77.888
616,62,fgmres P_max=2,38.238,70.371
616,62,fgmres P_max=2,43.932,77.16
616,62,fgmres P_max=2,44.622,75.501
616,62,fgmres P_max=2,44.208,76.35
