opt,opt_name,it,Proc,DOFs,Local DOFs,Converged,|R|,PreMem,MemTotal,fep,time,linear,nonlinear
11,fgmres,3,56,2605124,46300,T,0.000000006068094,3376,1190531368,241.264,550.37,253,3
30,cycle_type=v interp_type=classical,2,56,2605124,46300,T,0.000000006068091,3376,1178619352,239.626,548.32,253,3
40,cycle_type=v truncfactor=0.5,2,56,2605124,46300,T,0.000000006068094,3376,1178619352,241.218,549.33,253,3
25,cycle_type=w P_max=4,9,56,2605124,46300,T,0.000000006068063,3376,1178619352,241.631,549.08,253,3
16,cycle_type=v  agg_nl=4,10,56,2605124,46300,T,0.000000006068111,3376,1178619352,240.732,553.03,253,3
12,gmres,3,56,2605124,46300,T,0.000000006068071,3376,1178619352,240.985,549.85,253,3
16,cycle_type=v  agg_nl=4,9,56,2605124,46300,T,0.000000006068096,3376,1178619352,241.671,552.5,253,3
17,cycle_type=w agg_nl=4,10,56,2605124,46300,T,0.000000006068096,3376,1178619352,242.503,549.43,253,3
30,cycle_type=v interp_type=classical,10,56,2605124,46300,T,0.0000000060681,3376,1178619352,240.959,549.43,253,3
16,cycle_type=v  agg_nl=4,8,56,2605124,46300,T,0.000000006068087,3376,1178619352,241.088,549.94,253,3
12,gmres,5,56,2605124,46300,T,0.000000006068086,3376,1178619352,240.594,550.24,253,3
40,cycle_type=v truncfactor=0.5,4,56,2605124,46300,T,0.000000006068109,3376,1178619352,240.508,548.62,253,3
25,cycle_type=w P_max=4,10,56,2605124,46300,T,0.000000006068065,3376,1178619352,241.445,552.16,253,3
30,cycle_type=v interp_type=classical,9,56,2605124,46300,T,0.000000006068088,3376,1178619352,240.182,547.72,253,3
25,cycle_type=w P_max=4,6,56,2605124,46300,T,0.000000006068067,3376,1178619352,241.918,549.63,253,3
11,fgmres,10,56,2605124,46300,T,0.000000006068091,3376,1190531368,243.95,552.71,253,3
30,cycle_type=v interp_type=classical,7,56,2605124,46300,T,0.000000006068083,3376,1178619352,242.089,549.15,253,3
23,cycle_type=w P_max=2,3,56,2605124,46300,T,0.000000006068104,3376,1178619352,240.853,548.56,253,3
16,cycle_type=v  agg_nl=4,6,56,2605124,46300,T,0.000000006068097,3376,1178619352,240.92,550.29,253,3
11,fgmres,4,56,2605124,46300,T,0.000000006068096,3376,1190531368,238.527,546.65,253,3
12,gmres,8,56,2605124,46300,T,0.000000006068089,3376,1178619352,241.697,550.24,253,3
11,fgmres,2,56,2605124,46300,T,0.000000006068093,3376,1190531368,239.723,589.88,253,3
16,cycle_type=v  agg_nl=4,3,56,2605124,46300,T,0.000000006068101,3376,1178619352,239.066,545.99,253,3
23,cycle_type=w P_max=2,4,56,2605124,46300,T,0.000000006068089,3376,1178619352,240.822,548.2,253,3
30,cycle_type=v interp_type=classical,5,56,2605124,46300,T,0.000000006068067,3376,1178619352,240.158,547.69,253,3
11,fgmres,9,56,2605124,46300,T,0.000000006068071,3376,1190531368,241.47,551.04,253,3
40,cycle_type=v truncfactor=0.5,5,56,2605124,46300,T,0.000000006068107,3376,1178619352,240.271,547.87,253,3
11,fgmres,1,56,2605124,46300,T,0.000000006068108,3376,1190531368,240.433,549.98,253,3
11,fgmres,5,56,2605124,46300,T,0.000000006068075,3376,1190531368,239.465,549.29,253,3
40,cycle_type=v truncfactor=0.5,3,56,2605124,46300,T,0.000000006068075,3376,1178619352,240.626,547.17,253,3
40,cycle_type=v truncfactor=0.5,6,56,2605124,46300,T,0.000000006068105,3376,1178619352,241.622,549.12,253,3
